start	end	text
0	6560	our relationships, but there are also some big problems like Central America, where with
6560	12280	a relatively modest investment, we could really be making a difference and making ourselves
12280	13280	safer.
13280	16560	So there's been this idea of a pivot to Asia.
16560	19680	And what does that mean to you in specific terms?
19680	25760	A transfer of hard military resources, a transfer of sort of time on your agenda in the National
25760	27160	Security Council.
27160	31080	Is it something you've really managed to pull off, or does the Middle East really still
31080	32640	have us kind of sucked in?
32640	35200	I think it means all the above.
35200	39400	Look, Asia is the fastest growing region in the world, the most populous region in the
39400	48760	world, and you've got the largest country in the world, China, that has undergone this
48760	49960	incredible dramatic.
